Season,Thermal comfort,Air temperature,Relative humidity,Outdoor air temperature
1,4.0,25.6,53.0,21.6
1,4.0,25.2,46.0,21.6
1,4.0,25.2,46.0,21.6
1,4.0,25.2,46.0,21.6
1,4.0,25.2,46.0,21.6
1,4.0,24.8,49.0,21.6
1,4.0,24.8,49.0,21.6
1,4.0,24.4,51.0,21.6
1,4.0,24.5,51.0,21.6
1,4.0,24.5,51.0,21.6
1,4.0,25.2,49.0,21.6
1,4.0,25.2,49.0,21.6
1,4.0,25.2,49.0,21.6
1,5.0,28.2,35.0,21.6
1,5.0,28.2,35.0,21.6
1,5.0,28.2,35.0,21.6
1,5.0,28.1,34.0,21.6
1,5.0,28.1,34.0,21.6
1,5.0,27.7,38.0,21.6
1,4.0,25.2,45.0,21.6
1,4.0,25.2,45.0,21.6
1,4.0,25.2,45.0,21.6
1,4.0,25.2,45.0,21.6
1,4.0,25.2,45.0,21.6
1,4.0,25.2,45.0,21.6
1,4.0,25.9,45.0,21.6
1,4.0,25.9,45.0,21.6
1,4.0,25.5,43.0,21.6
1,4.0,25.5,43.0,21.6
1,4.0,24.9,46.0,21.6
1,4.0,24.9,46.0,21.6
1,4.0,24.9,46.0,21.6
1,5.0,29.1,36.0,21.6
1,5.0,26.3,38.0,21.6
1,5.0,26.3,38.0,21.6
1,5.0,29.9,34.0,21.6
1,5.0,28.6,31.0,21.6
1,5.0,28.3,31.0,21.6
1,5.0,28.3,31.0,21.6
1,5.0,29.1,28.0,21.6
1,5.0,29.1,28.0,21.6
1,5.0,29.1,28.0,21.6
1,5.0,29.1,28.0,21.6
1,5.0,29.1,28.0,21.6
1,5.0,29.1,28.0,21.6
1,5.0,29.1,28.0,21.6
1,5.0,28.3,31.0,21.6
1,5.0,28.7,31.0,21.6
1,5.0,28.7,31.0,21.6
1,5.0,28.7,31.0,21.6
1,4.0,25.6,47.0,21.6
1,4.0,25.6,47.0,21.6
1,4.0,25.6,46.0,21.6
1,4.0,25.6,46.0,21.6
1,4.0,25.1,47.0,21.6
1,4.0,25.1,47.0,21.6
1,4.0,25.0,48.0,21.6
1,4.0,25.1,46.0,21.6
1,4.0,24.8,48.0,21.6
1,5.0,28.2,44.0,21.6
1,5.0,27.7,47.0,21.6
1,5.0,27.6,43.0,21.6
1,5.0,27.3,46.0,21.6
1,5.0,27.3,48.0,21.6
1,5.0,27.3,48.0,21.6
1,5.0,27.7,48.0,21.6
1,5.0,27.7,48.0,21.6
1,5.0,27.7,48.0,21.6
1,5.0,27.7,48.0,21.6
1,5.0,27.7,48.0,21.6
1,5.0,27.7,48.0,21.6
1,5.0,27.6,48.0,21.6
1,5.0,27.7,48.0,21.6
1,5.0,27.7,48.0,21.6
1,5.0,27.7,48.0,21.6
