Season,Thermal preference,Thermal comfort,Air temperature,Relative humidity,Outdoor air temperature
4,0,5.0,26.9,67.0,30.5
4,-1,5.0,29.8,87.3,30.8
4,-1,5.0,29.5,81.1,30.8
4,0,5.0,29.6,77.7,30.7
4,-1,5.0,29.2,79.5,30.7
4,0,5.0,30.7,68.9,30.5
4,-1,4.0,28.5,82.0,30.5
4,1,4.0,28.8,78.2,30.5
4,0,5.0,28.8,78.0,30.5
4,0,5.0,28.7,79.0,30.7
4,1,5.0,28.7,75.5,30.6
4,-1,5.0,29.2,73.8,30.6
4,-1,5.0,29.0,72.8,30.6
4,-1,5.0,30.5,72.0,32.7
4,0,5.0,29.4,77.8,32.9
4,0,5.0,30.9,70.7,33.4
4,0,5.0,30.9,74.3,33.4
4,-1,5.0,32.0,67.7,33.4
4,-1,5.0,29.8,67.6,31.6
4,-1,4.0,28.8,77.1,31.6
4,-1,5.0,30.1,67.2,31.6
4,0,5.0,30.0,68.9,30.0
4,-1,5.0,29.3,76.9,30.0
4,-1,5.0,29.9,67.8,30.9
4,1,5.0,29.6,71.5,31.0
4,-1,5.0,29.3,70.9,32.0
4,-1,5.0,29.4,70.5,31.9
4,-1,5.0,29.7,71.5,32.0
4,-1,5.0,29.7,74.7,32.1
4,-1,5.0,29.8,75.0,32.1
4,-1,5.0,29.7,74.8,32.1
4,-1,5.0,29.9,74.8,32.9
4,-1,5.0,32.2,71.2,33.0
4,-1,5.0,30.2,81.0,33.0
4,0,5.0,30.1,80.7,33.0
4,-1,5.0,30.3,78.9,33.0
4,-1,5.0,30.2,80.3,33.0
4,0,5.0,30.0,79.9,33.0
4,0,5.0,30.8,69.8,32.7
4,-1,5.0,30.7,69.5,32.4
3,-1,5.0,28.2,45.6,34.5
3,0,5.0,32.1,43.6,34.7
3,0,5.0,25.5,51.8,36.0
3,-1,4.0,23.4,51.4,36.3
3,-1,5.0,25.1,50.0,36.4
3,1,4.0,24.2,54.4,36.7
3,0,5.0,24.0,52.4,36.3
3,0,4.0,24.3,52.4,37.0
3,1,5.0,27.3,35.8,34.2
3,1,4.0,26.0,37.4,35.0
3,0,5.0,24.1,38.0,35.0
3,0,5.0,25.6,38.1,36.0
3,0,5.0,32.8,26.9,37.0
3,0,5.0,29.3,29.7,37.9
3,0,5.0,31.2,32.0,37.9
3,-1,4.0,26.7,31.1,38.0
3,-1,4.0,28.7,30.7,30.5
3,-1,5.0,28.6,33.5,38.0
3,0,5.0,28.0,32.4,37.5
3,0,5.0,32.7,24.3,36.0
3,-1,4.0,20.3,33.5,38.0
3,0,5.0,27.9,29.5,38.0
3,-1,5.0,31.4,32.3,37.7
3,0,4.0,27.1,24.9,31.4
3,0,5.0,24.9,27.6,31.8
